champ,role,pickrate,winrate,banrate,rank,change
Orianna,MID,3.38,47.87,0.54,irontogold,no change
Ornn,TOP,4.8,51.44,1.77,irontogold,no change
Pantheon,MID,3.44,51.54,20.73,irontogold,no change
Pantheon,TOP,2.52,49.83,20.73,irontogold,no change
Pantheon,JUNGLE,2.24,50.47,20.73,irontogold,no change
Pantheon,SUPPORT,5.43,47.03,20.73,irontogold,no change
Poppy,TOP,2.02,49.32,0.65,irontogold,no change
Poppy,JUNGLE,0.95,51.09,0.65,irontogold,no change
Pyke,SUPPORT,7.38,46.47,12.84,irontogold,no change
Pyke,MID,1.15,50.58,12.84,irontogold,no change
Qiyana,MID,1.54,45.29,0.25,irontogold,no change
Quinn,TOP,2.42,49.9,2.14,irontogold,no change
Quinn,MID,0.39,51.79,2.14,irontogold,no change
Rakan,SUPPORT,3.35,48.83,0.24,irontogold,no change
Rammus,JUNGLE,4.66,54.52,8.15,irontogold,no change
Rek'Sai,JUNGLE,1.87,47.82,0.66,irontogold,no change
Rell,SUPPORT,3.62,52.24,3.37,irontogold,no change
Renekton,TOP,6.15,47.6,6.76,irontogold,no change
Renekton,MID,1.04,51.37,6.76,irontogold,no change
Rengar,TOP,1.02,48.96,1.73,irontogold,no change
Rengar,JUNGLE,2.85,45.54,1.73,irontogold,no change
Riven,TOP,3.75,47.04,1,irontogold,no change
Riven,MID,0.55,50.59,1,irontogold,no change
Rumble,MID,0.75,52.14,0.29,irontogold,no change
Rumble,TOP,1.05,46.78,0.29,irontogold,no change
Ryze,MID,2.2,46.55,0.28,irontogold,no change
Ryze,TOP,0.85,46.6,0.28,irontogold,no change
Samira,ADC,11.23,47.21,42.53,irontogold,no change
Sejuani,JUNGLE,2.1,50.57,0.23,irontogold,no change
Senna,ADC,1.51,47.59,1.85,irontogold,buff
Senna,SUPPORT,4.78,44.84,1.85,irontogold,buff
Seraphine,SUPPORT,7.89,52.07,7.38,irontogold,no change
Seraphine,MID,1.19,53.2,7.38,irontogold,no change
Sett,TOP,7.73,49.34,6.39,irontogold,no change
Sett,MID,1.25,51.91,6.39,irontogold,no change
Sett,SUPPORT,2.2,46.48,6.39,irontogold,no change
Shaco,SUPPORT,2.47,52.88,11.08,irontogold,buff
Shaco,JUNGLE,4.96,48.6,11.08,irontogold,buff
Shen,TOP,6.23,50.7,2.93,irontogold,no change
Shyvana,TOP,0.25,49.79,0.27,irontogold,no change
Shyvana,JUNGLE,1.82,48.28,0.27,irontogold,no change
Singed,TOP,1.02,49.92,0.19,irontogold,no change
Sion,TOP,2.34,52.35,0.3,irontogold,no change
Sivir,ADC,1.83,50.08,0.18,irontogold,no change
Skarner,JUNGLE,1.08,54.07,0.19,irontogold,no change
Sona,SUPPORT,2.17,51.79,0.11,irontogold,no change
Soraka,SUPPORT,3.53,47.99,0.62,irontogold,buff
Swain,MID,1.03,55.15,6.72,irontogold,no change
Swain,SUPPORT,5.32,51.92,6.72,irontogold,no change
Sylas,MID,4.87,48.06,3.92,irontogold,no change
Sylas,TOP,2.01,47.22,3.92,irontogold,no change
Syndra,MID,3.02,47.15,1.1,irontogold,no change
Tahm Kench,TOP,0.99,48.09,0.42,irontogold,no change
Tahm Kench,SUPPORT,0.46,44.31,0.42,irontogold,no change
Taliyah,JUNGLE,2.52,48.44,1.49,irontogold,no change
Talon,MID,3.35,48.09,1.31,irontogold,no change
Taric,SUPPORT,1.09,50.89,0.12,irontogold,no change
Teemo,TOP,6.85,51.96,11.19,irontogold,no change
Thresh,SUPPORT,12.16,49.11,4.34,irontogold,no change
Tristana,ADC,11.89,51.07,5,irontogold,no change
Trundle,TOP,0.38,48.89,0.14,irontogold,buff
Trundle,JUNGLE,0.95,47.51,0.14,irontogold,buff
Tryndamere,TOP,3.12,47.34,3.17,irontogold,no change
Tryndamere,MID,0.46,50.71,3.17,irontogold,no change
Tryndamere,JUNGLE,0.47,46.53,3.17,irontogold,no change
Twisted Fate,MID,2.7,47.83,0.2,irontogold,no change
Twitch,ADC,3.85,50.01,1.65,irontogold,no change
Twitch,JUNGLE,0.54,44.03,1.65,irontogold,no change
Udyr,JUNGLE,3.17,51.91,1.21,irontogold,no change
Urgot,TOP,4.98,51.57,4.48,irontogold,no change
Varus,ADC,2.32,47.05,0.22,irontogold,buff
Vayne,ADC,13.18,51.14,13.93,irontogold,no change
Vayne,TOP,2.69,48.23,13.93,irontogold,no change
Veigar,MID,4.24,50.49,1.53,irontogold,no change
Veigar,SUPPORT,0.92,47.83,1.53,irontogold,no change
Vel'Koz,MID,1.58,51.86,0.67,irontogold,no change
Vel'Koz,SUPPORT,2.25,50.11,0.67,irontogold,no change
Vi,JUNGLE,5.4,51.74,1.16,irontogold,tweak
Viktor,MID,4.11,52.58,1.36,irontogold,no change
Vladimir,MID,2.95,49.93,2.67,irontogold,no change
Vladimir,TOP,1.19,48.44,2.67,irontogold,no change
Volibear,TOP,3.94,50.63,3.12,irontogold,no change
Volibear,JUNGLE,3.26,50.13,3.12,irontogold,no change
Warwick,JUNGLE,7.19,51.36,2.94,irontogold,no change
Warwick,TOP,0.82,50.03,2.94,irontogold,no change
Wukong,TOP,3.29,51.7,1.43,irontogold,no change
Wukong,JUNGLE,1.05,50.73,1.43,irontogold,no change
Xayah,ADC,3.66,47.83,0.4,irontogold,no change
Xerath,MID,2.31,50.44,2.77,irontogold,no change
Xerath,SUPPORT,3.22,49.55,2.77,irontogold,no change
Xin Zhao,JUNGLE,2.83,48.35,0.35,irontogold,no change
Yasuo,MID,13.79,49.21,29.79,irontogold,no change
Yasuo,TOP,3.45,49.77,29.79,irontogold,no change
Yasuo,ADC,2.09,49.81,29.79,irontogold,no change
Yone,MID,11.77,49.75,24.02,irontogold,no change
Yone,TOP,3.25,49.29,24.02,irontogold,no change
Yorick,TOP,2.02,51.62,0.92,irontogold,no change
Yuumi,SUPPORT,7.69,49.93,7.79,irontogold,no change
Zac,JUNGLE,3.11,50.91,0.97,irontogold,no change
Zed,MID,11.23,48.44,39.86,irontogold,no change
Ziggs,ADC,0.26,51.95,0.16,irontogold,no change
Ziggs,MID,1.44,50.01,0.16,irontogold,no change
Ziggs,SUPPORT,0.25,49.12,0.16,irontogold,no change
Zilean,MID,0.3,54.37,0.38,irontogold,no change
Zilean,SUPPORT,2,51.63,0.38,irontogold,no change
Zoe,MID,2.98,46.47,1.67,irontogold,no change
Zyra,SUPPORT,3.73,51.15,1.68,irontogold,no change
Aatrox,TOP,5.53,47.72,7.5,irontogold,no change
Ahri,MID,5.67,50.75,1.99,irontogold,no change
Akali,MID,5.91,44.67,16.04,irontogold,no change
Akali,TOP,2.31,44.3,16.04,irontogold,no change
Alistar,SUPPORT,6.9,50.77,1.95,irontogold,no change
Amumu,JUNGLE,3.85,52.08,2.52,irontogold,no change
Anivia,MID,5.33,53.13,12.6,irontogold,nerf
Anivia,SUPPORT,0.56,48.98,12.6,irontogold,nerf
Annie,MID,3.23,53.03,1.39,irontogold,no change
Aphelios,ADC,5.79,47.24,2.27,irontogold,no change
Ashe,ADC,9.15,50.35,2.83,irontogold,no change
Ashe,SUPPORT,1.85,46.85,2.83,irontogold,no change
Aurelion Sol,MID,0.72,51.03,0.19,irontogold,no change
Azir,MID,1.45,45.75,0.21,irontogold,no change
Bard,SUPPORT,2.59,49.9,0.35,irontogold,no change
Blitzcrank,SUPPORT,6.77,50.08,14.11,irontogold,no change
Brand,SUPPORT,6.11,52.37,11.37,irontogold,no change
Brand,MID,1.66,54.32,11.37,irontogold,no change
Braum,SUPPORT,2.24,49.71,0.4,irontogold,no change
Caitlyn,ADC,10.92,48.11,7.08,irontogold,no change
Camille,TOP,6.72,49.4,7.68,irontogold,no change
Cassiopeia,TOP,0.36,51.58,1.18,irontogold,no change
Cassiopeia,MID,2.02,49.76,1.18,irontogold,no change
Cho'Gath,TOP,4.83,53.82,2.13,irontogold,no change
Cho'Gath,MID,0.77,53.27,2.13,irontogold,no change
Corki,MID,0.67,50.35,0.21,irontogold,no change
Corki,ADC,0.1,48.96,0.21,irontogold,no change
Darius,TOP,8.67,49.82,42.11,irontogold,no change
Diana,MID,5.7,53.02,4.72,irontogold,no change
Dr. Mundo,JUNGLE,2.8,54.01,1.66,irontogold,no change
Dr. Mundo,TOP,2.07,50.39,1.66,irontogold,no change
Draven,ADC,3.7,47.71,3.68,irontogold,no change
Ekko,JUNGLE,6.99,51.41,8.71,irontogold,no change
Ekko,MID,5.27,51.19,8.71,irontogold,no change
Elise,JUNGLE,4.79,51.29,6.47,irontogold,nerf
Evelynn,JUNGLE,4.5,49.87,6.77,irontogold,no change
Ezreal,ADC,11.74,47.19,2.42,irontogold,buff
Fiddlesticks,JUNGLE,3.36,51.38,2.13,irontogold,no change
Fiora,TOP,4.18,48.63,5.52,irontogold,no change
Fizz,MID,6.83,52.05,20.41,irontogold,no change
Galio,MID,4.4,52.04,2.17,irontogold,no change
Galio,SUPPORT,2.28,51.67,2.17,irontogold,no change
Gangplank,TOP,2.44,45.8,0.82,irontogold,no change
Gangplank,MID,0.44,45.94,0.82,irontogold,no change
Garen,TOP,10.23,53.42,6.93,irontogold,no change
Gnar,TOP,6.16,50.23,2.91,irontogold,no change
Gragas,TOP,1.79,48.7,0.63,irontogold,no change
Gragas,JUNGLE,2.23,48.3,0.63,irontogold,no change
Graves,JUNGLE,7.88,47.05,12.53,irontogold,no change
Hecarim,JUNGLE,10.15,51.24,15.76,irontogold,no change
Heimerdinger,MID,1.34,52.34,1.56,irontogold,no change
Heimerdinger,TOP,1.18,50.65,1.56,irontogold,no change
Illaoi,TOP,3.86,51.05,9.08,irontogold,no change
Irelia,TOP,6.5,46.42,10.01,irontogold,no change
Irelia,MID,4.34,46.33,10.01,irontogold,no change
Ivern,JUNGLE,2.03,52.03,1.29,irontogold,nerf
Janna,SUPPORT,3.22,49.17,0.26,irontogold,no change
Jarvan IV,JUNGLE,2.52,49.48,0.28,irontogold,no change
Jax,TOP,3.99,48.71,5.99,irontogold,no change
Jax,JUNGLE,3.19,48.6,5.99,irontogold,no change
Jayce,MID,0.71,50.3,0.55,irontogold,no change
Jayce,TOP,1.79,46.84,0.55,irontogold,no change
Jhin,ADC,24.22,51.26,19.99,irontogold,no change
Jinx,ADC,5.35,49.22,0.48,irontogold,tweak
Kai'Sa,ADC,28.72,50.57,18.76,irontogold,no change
Kalista,ADC,1.6,46.98,0.37,irontogold,no change
Kalista,TOP,0.39,42.64,0.37,irontogold,no change
Karma,SUPPORT,3.1,46.52,0.23,irontogold,buff
Karthus,MID,0.27,50.46,0.7,irontogold,no change
Karthus,JUNGLE,1.56,50.42,0.7,irontogold,no change
Kassadin,MID,3.32,49.01,3.72,irontogold,no change
Katarina,MID,8.63,48.39,16.04,irontogold,no change
Kayle,TOP,2.32,50.13,0.86,irontogold,no change
Kayle,MID,0.36,51.15,0.86,irontogold,no change
Kayn,JUNGLE,12.45,49.51,16.28,irontogold,no change
Kennen,MID,0.4,53.38,0.3,irontogold,no change
Kennen,TOP,1.65,49.84,0.3,irontogold,no change
Kha'Zix,JUNGLE,9.48,49.67,16.11,irontogold,no change
Kindred,JUNGLE,2.83,47.24,0.72,irontogold,no change
Kled,MID,0.26,54.34,0.86,irontogold,no change
Kled,TOP,1.66,50.29,0.86,irontogold,no change
Kog'Maw,ADC,0.78,49.44,0.1,irontogold,no change
LeBlanc,MID,3.47,48.41,3.72,irontogold,no change
Lee Sin,JUNGLE,8.99,46.17,4.62,irontogold,no change
Leona,SUPPORT,11.88,50.97,27.85,irontogold,no change
Lillia,JUNGLE,4.5,47.78,2.13,irontogold,no change
Lissandra,MID,1.42,49.95,0.31,irontogold,no change
Lucian,ADC,11.26,47.76,5.01,irontogold,no change
Lucian,MID,3.67,45.54,5.01,irontogold,no change
Lulu,SUPPORT,7.85,49.92,5.59,irontogold,no change
Lux,SUPPORT,12.06,49.6,5.85,irontogold,no change
Lux,MID,5.54,51.19,5.85,irontogold,no change
Malphite,TOP,7.88,52.04,15.41,irontogold,no change
Malphite,MID,1.64,52.58,15.41,irontogold,no change
Malphite,SUPPORT,2.75,48.09,15.41,irontogold,no change
Malzahar,MID,3.74,52.93,4.03,irontogold,no change
Maokai,SUPPORT,4.3,51.81,5.26,irontogold,no change
Maokai,TOP,0.82,51.12,5.26,irontogold,no change
Master Yi,JUNGLE,10.32,50.61,27.89,irontogold,no change
Miss Fortune,ADC,17.9,51.24,6.45,irontogold,no change
Mordekaiser,TOP,6.84,49.5,7.69,irontogold,buff
Mordekaiser,MID,0.89,51.91,7.69,irontogold,buff
Morgana,SUPPORT,11.7,50.01,33.75,irontogold,no change
Morgana,MID,1.55,53.14,33.75,irontogold,no change
Nami,SUPPORT,4.55,50.99,0.27,irontogold,no change
Nasus,TOP,6.72,52.9,5.96,irontogold,no change
Nautilus,SUPPORT,8.39,49.48,9.09,irontogold,no change
Neeko,MID,3.23,52.45,0.99,irontogold,no change
Neeko,SUPPORT,1.21,48.61,0.99,irontogold,no change
Nidalee,JUNGLE,3.5,45.21,0.82,irontogold,no change
Nocturne,JUNGLE,4.82,51.13,2.19,irontogold,no change
Olaf,JUNGLE,7.11,52.05,22.47,irontogold,nerf
Orianna,MID,3.78,47.32,0.49,irontogold,no change
Ornn,TOP,4.32,51.77,1.34,irontogold,no change
Pantheon,MID,4.56,51.5,22.24,irontogold,tweak
Pantheon,JUNGLE,4.85,50.48,22.24,irontogold,tweak
Pantheon,TOP,3.07,49.65,22.24,irontogold,tweak
Pantheon,SUPPORT,4.44,46.61,22.24,irontogold,tweak
Poppy,JUNGLE,0.86,52.14,0.59,irontogold,no change
Poppy,TOP,1.75,49.53,0.59,irontogold,no change
Pyke,MID,1.09,51.55,11.41,irontogold,no change
Pyke,SUPPORT,6.73,46.75,11.41,irontogold,no change
Qiyana,MID,1.31,45,0.21,irontogold,no change
Quinn,TOP,2.21,49,1.96,irontogold,no change
Quinn,MID,0.36,50.64,1.96,irontogold,no change
Rakan,SUPPORT,3.1,48.17,0.22,irontogold,no change
Rammus,JUNGLE,4.64,55.3,7.84,irontogold,tweak
Rek'Sai,JUNGLE,1.56,48.67,0.56,irontogold,no change
Rell,SUPPORT,3.91,53.1,3.41,irontogold,tweak
Renekton,TOP,6.82,48.25,7.36,irontogold,no change
Renekton,MID,1.12,51.32,7.36,irontogold,no change
Rengar,TOP,0.94,48.32,1.5,irontogold,no change
Rengar,JUNGLE,2.52,46.41,1.5,irontogold,no change
Riven,TOP,3.47,47.38,0.87,irontogold,buff
Riven,MID,0.52,49.99,0.87,irontogold,buff
Rumble,MID,0.77,51.57,0.26,irontogold,no change
Rumble,TOP,0.95,47.95,0.26,irontogold,no change
Ryze,MID,2.21,46.55,0.24,irontogold,no change
Ryze,TOP,0.79,46.32,0.24,irontogold,no change
Samira,ADC,12.77,47.23,42.98,irontogold,no change
Sejuani,JUNGLE,1.69,49.92,0.21,irontogold,no change
Senna,SUPPORT,9.35,48.66,3.94,irontogold,no change
Senna,ADC,5.08,52.17,3.94,irontogold,no change
Seraphine,SUPPORT,9.92,52.65,10.86,irontogold,nerf
Seraphine,MID,1.56,54.8,10.86,irontogold,nerf
Sett,TOP,7.44,49.68,5.87,irontogold,no change
Sett,MID,1.25,53.15,5.87,irontogold,no change
Sett,SUPPORT,2.26,46.99,5.87,irontogold,no change
Shaco,SUPPORT,2.86,52.77,12.52,irontogold,no change
Shaco,JUNGLE,5.27,49.74,12.52,irontogold,no change
Shen,TOP,5.36,50.69,2.16,irontogold,no change
Shen,SUPPORT,0.63,47.77,2.16,irontogold,no change
Shyvana,TOP,0.39,47.41,0.29,irontogold,tweak
Shyvana,JUNGLE,2.14,48.73,0.29,irontogold,tweak
Singed,TOP,0.99,49.57,0.16,irontogold,buff
Sion,TOP,2.25,52.58,0.26,irontogold,no change
Sivir,ADC,2.3,50.43,0.18,irontogold,no change
Skarner,JUNGLE,1.28,54.92,0.24,irontogold,no change
Sona,SUPPORT,2.16,51.8,0.1,irontogold,no change
Soraka,SUPPORT,4.1,49.26,0.67,irontogold,no change
Swain,ADC,0.82,57.01,7.08,irontogold,no change
Swain,MID,1.05,55.85,7.08,irontogold,no change
Swain,SUPPORT,5.3,51.75,7.08,irontogold,no change
Sylas,MID,4.51,48.08,3.15,irontogold,tweak
Sylas,TOP,1.81,46.58,3.15,irontogold,tweak
Syndra,MID,3.09,46.84,1.01,irontogold,no change
Tahm Kench,TOP,0.95,48.88,0.29,irontogold,no change
Tahm Kench,SUPPORT,0.27,44.75,0.29,irontogold,no change
Taliyah,JUNGLE,2.69,48.34,1.43,irontogold,tweak
Talon,MID,3.5,48.4,1.32,irontogold,no change
Taric,SUPPORT,1.01,51.13,0.12,irontogold,no change
Teemo,TOP,6.25,51.57,10.44,irontogold,no change
Thresh,SUPPORT,12.37,48.92,4.57,irontogold,no change
Tristana,ADC,11.23,51.17,5.48,irontogold,no change
Trundle,TOP,0.62,50.16,0.2,irontogold,no change
Trundle,JUNGLE,1.28,49.57,0.2,irontogold,no change
Tryndamere,TOP,3.11,47.43,3.08,irontogold,no change
Tryndamere,MID,0.47,50.45,3.08,irontogold,no change
Tryndamere,JUNGLE,0.43,46.26,3.08,irontogold,no change
Twisted Fate,MID,4.22,47.56,0.27,irontogold,no change
Twitch,ADC,3.87,50.01,1.89,irontogold,no change
Twitch,JUNGLE,0.53,43.95,1.89,irontogold,no change
Udyr,JUNGLE,5.96,53.26,4.1,irontogold,nerf
Urgot,TOP,4.31,50.48,4.02,irontogold,no change
Varus,ADC,2.43,48.09,0.19,irontogold,no change
Vayne,ADC,13.03,50.8,13.54,irontogold,no change
Vayne,TOP,2.55,47.81,13.54,irontogold,no change
Veigar,MID,4.14,50.84,1.42,irontogold,no change
Veigar,SUPPORT,0.9,48.65,1.42,irontogold,no change
Vel'Koz,MID,1.67,52.38,0.68,irontogold,no change
Vel'Koz,SUPPORT,2.22,50.24,0.68,irontogold,no change
Vi,JUNGLE,4.32,51.67,0.93,irontogold,no change
Viego,JUNGLE,12.87,46.63,31.45,irontogold,no change
Viego,TOP,4.12,46.18,31.45,irontogold,no change
Viego,MID,2.99,48.2,31.45,irontogold,no change
Viktor,MID,4.14,52.42,1.29,irontogold,no change
Vladimir,MID,2.87,48.56,2.39,irontogold,buff
Vladimir,TOP,1.12,46.53,2.39,irontogold,buff
Volibear,TOP,3.87,51.73,3.14,irontogold,no change
Volibear,JUNGLE,2.67,50.13,3.14,irontogold,no change
Warwick,JUNGLE,6.2,51.42,2.81,irontogold,no change
Warwick,TOP,0.87,50.27,2.81,irontogold,no change
Wukong,TOP,3.31,51.97,1.56,irontogold,no change
Wukong,MID,0.49,53.52,1.56,irontogold,no change
Wukong,JUNGLE,0.9,50.69,1.56,irontogold,no change
Xayah,ADC,3.9,47.95,0.38,irontogold,no change
Xerath,MID,2.25,50.93,2.52,irontogold,no change
Xerath,SUPPORT,2.99,49.51,2.52,irontogold,no change
Xin Zhao,JUNGLE,2.44,49.27,0.32,irontogold,no change
Yasuo,MID,12.58,49.25,27.2,irontogold,no change
Yasuo,TOP,3.04,49.45,27.2,irontogold,no change
Yasuo,ADC,1.91,49.08,27.2,irontogold,no change
Yone,MID,11.45,49.64,25,irontogold,no change
Yone,TOP,2.91,49.75,25,irontogold,no change
Yorick,TOP,1.95,51.73,0.91,irontogold,no change
Yuumi,SUPPORT,7.26,49.88,7.05,irontogold,no change
Zac,JUNGLE,2.58,50.74,0.82,irontogold,no change
Zed,MID,11.05,48.53,37.91,irontogold,no change
Ziggs,ADC,0.27,52.06,0.17,irontogold,no change
Ziggs,MID,1.45,49.54,0.17,irontogold,no change
Ziggs,SUPPORT,0.25,48.45,0.17,irontogold,no change
Zilean,MID,0.33,53.8,0.38,irontogold,no change
Zilean,SUPPORT,2.04,51.23,0.38,irontogold,no change
Zoe,MID,3.23,45.65,1.79,irontogold,no change
Zyra,SUPPORT,3.69,51.26,1.59,irontogold,no change
Aatrox,TOP,4.73,47.25,6.01,irontogold,no change
Ahri,MID,5.62,50.41,1.95,irontogold,no change
Akali,MID,4.79,44.93,11.25,irontogold,no change
Akali,TOP,1.78,44.61,11.25,irontogold,no change
Alistar,SUPPORT,7.32,50.67,2.35,irontogold,no change
Amumu,JUNGLE,3.77,52.07,1.88,irontogold,buff
Anivia,MID,4.44,52.1,10.74,irontogold,no change
Anivia,SUPPORT,0.47,47.82,10.74,irontogold,no change
Annie,MID,3.38,53.07,1.45,irontogold,no change
Aphelios,ADC,5.41,47,1.95,irontogold,no change
Ashe,ADC,8.71,50.36,2.38,irontogold,no change
Ashe,SUPPORT,1.36,47.18,2.38,irontogold,no change
Aurelion Sol,MID,0.71,50.63,0.18,irontogold,no change
Azir,MID,1.74,44.69,0.22,irontogold,no change
Bard,SUPPORT,2.53,49.49,0.32,irontogold,no change
Blitzcrank,SUPPORT,6.74,50.01,13.39,irontogold,no change
Brand,SUPPORT,6.09,52.02,10.74,irontogold,no change
Brand,MID,1.6,54.08,10.74,irontogold,no change
Braum,SUPPORT,2.23,49.68,0.38,irontogold,buff
Caitlyn,ADC,9.17,47.68,6.32,irontogold,buff
Camille,TOP,6.61,49.14,8.08,irontogold,nerf
Cassiopeia,MID,2.07,50.22,1.23,irontogold,no change
Cassiopeia,TOP,0.36,50.15,1.23,irontogold,no change
Cho'Gath,TOP,5.1,53.02,2.87,irontogold,no change
Cho'Gath,MID,0.8,53.32,2.87,irontogold,no change
Corki,MID,0.8,50.36,0.2,irontogold,no change
Corki,ADC,0.09,48.25,0.2,irontogold,no change
Darius,TOP,8.43,49.7,40.65,irontogold,no change
Diana,MID,5.65,52.65,4.72,irontogold,no change
Dr. Mundo,JUNGLE,3.98,53.8,2.24,irontogold,no change
Dr. Mundo,TOP,1.7,50.08,2.24,irontogold,no change
Draven,ADC,3.27,48.28,3.5,irontogold,no change
Ekko,JUNGLE,6.47,50.97,7.41,irontogold,no change
Ekko,MID,4.95,50.68,7.41,irontogold,no change
Elise,JUNGLE,4.12,50.07,6.21,irontogold,no change
Evelynn,JUNGLE,4.57,49.34,6.82,irontogold,no change
Ezreal,ADC,15.61,47.43,2.83,irontogold,no change
Fiddlesticks,JUNGLE,3.66,51.02,2.14,irontogold,no change
Fiora,TOP,4.36,47.69,5.01,irontogold,buff
Fizz,MID,6.56,51.46,20.02,irontogold,no change
Galio,MID,4.49,51.8,2.46,irontogold,no change
Galio,SUPPORT,2.1,51.42,2.46,irontogold,no change
Gangplank,TOP,2.65,45.24,0.9,irontogold,no change
Gangplank,MID,0.46,47.18,0.9,irontogold,no change
Garen,TOP,10.3,53.14,7.49,irontogold,no change
Gnar,TOP,7.47,49.67,5.2,irontogold,no change
Gragas,TOP,2.58,48.6,0.81,irontogold,no change
Gragas,JUNGLE,2.24,48.17,0.81,irontogold,no change
Graves,JUNGLE,7.18,47.71,7.96,irontogold,no change
Hecarim,JUNGLE,10.73,50.85,17.03,irontogold,no change
Heimerdinger,MID,1.26,51.42,1.58,irontogold,no change
Heimerdinger,TOP,1.13,50.8,1.58,irontogold,no change
Illaoi,TOP,3.68,50.97,8.5,irontogold,no change
Irelia,TOP,6.48,46.67,10.67,irontogold,no change
Irelia,MID,4.5,45.8,10.67,irontogold,no change
Ivern,JUNGLE,1.53,49.85,0.84,irontogold,no change
Janna,SUPPORT,2.99,49.2,0.21,irontogold,no change
Jarvan IV,JUNGLE,2.82,49.56,0.26,irontogold,no change
Jax,TOP,4.01,48.79,5.81,irontogold,no change
Jax,JUNGLE,3.16,48.44,5.81,irontogold,no change
Jayce,MID,0.69,49.34,0.49,irontogold,no change
Jayce,TOP,1.81,47.33,0.49,irontogold,no change
Jhin,ADC,21.39,51.16,16.16,irontogold,no change
Jinx,ADC,8.46,49.57,0.81,irontogold,buff
Kai'Sa,ADC,27.67,50.51,25.19,irontogold,no change
Kalista,ADC,1.61,46.69,0.4,irontogold,no change
Kalista,TOP,0.43,42.68,0.4,irontogold,no change
Karma,SUPPORT,3.63,47.06,0.32,irontogold,no change
Karthus,JUNGLE,2.11,51.62,1.48,irontogold,no change
Karthus,MID,0.28,50.97,1.48,irontogold,no change
Kassadin,MID,3.44,49.24,4.54,irontogold,no change
Katarina,MID,8.59,49.09,14.48,irontogold,buff
Kayle,TOP,2.26,50.41,0.61,irontogold,no change
Kayle,MID,0.35,51.47,0.61,irontogold,no change
Kayn,JUNGLE,11.82,49.3,13.48,irontogold,no change
Kennen,MID,0.38,51.81,0.28,irontogold,no change
Kennen,TOP,1.56,50.28,0.28,irontogold,no change
Kha'Zix,JUNGLE,9.43,49.97,14.08,irontogold,no change
Kindred,JUNGLE,2.61,47.03,0.6,irontogold,no change
Kled,MID,0.25,51.8,0.85,irontogold,no change
Kled,TOP,1.53,50,0.85,irontogold,no change
Kog'Maw,MID,0.1,51.34,0.1,irontogold,no change
Kog'Maw,ADC,0.73,49.36,0.1,irontogold,no change
LeBlanc,MID,3.26,47.99,3.39,irontogold,no change
Lee Sin,JUNGLE,8.44,45.43,4.07,irontogold,buff
Leona,SUPPORT,11.62,51.05,27.42,irontogold,no change
Lillia,JUNGLE,4.48,47.8,1.95,irontogold,no change
Lissandra,MID,1.43,49.15,0.31,irontogold,no change
Lucian,ADC,9.69,47.29,4.4,irontogold,no change
Lucian,MID,3.51,46.38,4.4,irontogold,no change
Lulu,SUPPORT,8.14,49.73,5.99,irontogold,no change
Lux,SUPPORT,11.85,49.39,5.85,irontogold,no change
Lux,MID,5.55,51.48,5.85,irontogold,no change
Malphite,TOP,7.78,51.97,13.06,irontogold,no change
Malphite,MID,1.54,52.43,13.06,irontogold,no change
Malphite,SUPPORT,1.85,47.89,13.06,irontogold,no change
Malzahar,MID,3.67,53.29,4.17,irontogold,no change
Maokai,TOP,0.8,51.61,2.04,irontogold,no change
Maokai,SUPPORT,2.84,51.08,2.04,irontogold,no change
Master Yi,JUNGLE,10.11,50.85,25.53,irontogold,no change
Miss Fortune,ADC,15.04,51.07,4.64,irontogold,no change
Mordekaiser,TOP,7.45,50.84,8.53,irontogold,no change
Mordekaiser,MID,0.99,54.74,8.53,irontogold,no change
Morgana,SUPPORT,11.68,50.01,34.04,irontogold,no change
Morgana,MID,1.46,53.17,34.04,irontogold,no change
Nami,SUPPORT,4.36,51.59,0.24,irontogold,no change
Nasus,TOP,6.74,52.85,6.4,irontogold,no change
Nautilus,SUPPORT,8.47,49.9,9.7,irontogold,no change
Neeko,MID,3.36,51.42,1.14,irontogold,no change
Neeko,SUPPORT,1.13,48.45,1.14,irontogold,no change
Nidalee,JUNGLE,3.39,44.94,0.85,irontogold,no change
Nocturne,JUNGLE,5.53,51.52,2.65,irontogold,no change
Olaf,JUNGLE,4.79,48.32,15.95,irontogold,no change
Orianna,MID,4.11,47.49,0.52,irontogold,no change
Ornn,TOP,4.25,52,1.12,irontogold,no change
Pantheon,MID,3.85,50.68,18.06,irontogold,no change
Pantheon,TOP,2.3,48.8,18.06,irontogold,no change
Pantheon,SUPPORT,3.76,46.36,18.06,irontogold,no change
Pantheon,JUNGLE,2.76,44.89,18.06,irontogold,no change
Poppy,TOP,1.7,49.03,0.54,irontogold,no change
Poppy,JUNGLE,0.82,50.53,0.54,irontogold,no change
Pyke,MID,1.26,52.04,11.08,irontogold,no change
Pyke,SUPPORT,6.79,47.28,11.08,irontogold,no change
Qiyana,MID,1.33,45.46,0.19,irontogold,no change
Quinn,TOP,2.21,49.83,1.91,irontogold,no change
Quinn,MID,0.35,51.5,1.91,irontogold,no change
Rakan,SUPPORT,3.36,48.58,0.2,irontogold,no change
Rammus,JUNGLE,5.22,55,9.11,irontogold,no change
Rek'Sai,JUNGLE,1.7,48.16,0.56,irontogold,no change
Rell,SUPPORT,5.54,52.64,5.76,irontogold,no change
Renekton,TOP,6.65,47.53,8.25,irontogold,nerf
