champ,role,winrate,rank,banrate,pickrate,change
Vi,JUNGLE,52.25,irontogold,0.73,3.72,tweak
Viego,JUNGLE,50.45,irontogold,27.15,12.17,tweak
Viego,MID,50.03,irontogold,27.15,1.49,tweak
Viktor,MID,51.32,irontogold,0.38,2.29,no change
Vladimir,MID,49.86,irontogold,4.29,3.44,no change
Vladimir,TOP,48.61,irontogold,4.29,1.44,no change
Volibear,JUNGLE,51.27,irontogold,3.5,4.38,no change
Volibear,TOP,49.79,irontogold,3.5,2.88,no change
Warwick,JUNGLE,51.91,irontogold,4.62,7.79,no change
Warwick,TOP,50.39,irontogold,4.62,1.15,no change
Wukong,TOP,51.88,irontogold,1.57,2.94,no change
Wukong,MID,53.69,irontogold,1.57,0.44,no change
Wukong,JUNGLE,50.87,irontogold,1.57,0.66,no change
Xayah,ADC,47.89,irontogold,0.4,3.52,tweak
Xerath,MID,51.02,irontogold,8.19,2.64,no change
Xerath,SUPPORT,50.8,irontogold,8.19,5.5,no change
Xin Zhao,JUNGLE,50.24,irontogold,13.17,7.47,no change
Yasuo,MID,51.45,irontogold,28.5,13.76,no change
Yasuo,TOP,51.22,irontogold,28.5,3.13,no change
Yasuo,ADC,51.25,irontogold,28.5,2.29,no change
Yone,MID,51.11,irontogold,14.63,8.89,no change
Yone,TOP,50.3,irontogold,14.63,2.77,no change
Yorick,TOP,52.13,irontogold,2.42,2.94,no change
Yuumi,SUPPORT,49.74,irontogold,11.2,9.23,no change
Zac,JUNGLE,52.52,irontogold,1.59,3.83,no change
Zed,MID,48.67,irontogold,45.76,11.4,tweak
Ziggs,ADC,52.82,irontogold,8.04,4.66,no change
Ziggs,MID,50.59,irontogold,8.04,2.12,no change
Zilean,SUPPORT,51.21,irontogold,0.68,2.66,no change
Zoe,MID,45.22,irontogold,0.78,2.11,no change
Zyra,SUPPORT,52.75,irontogold,3.63,5.72,no change
Aatrox,TOP,48.12,irontogold,2.44,3.43,no change
Ahri,MID,50.36,irontogold,1.77,5.47,no change
Akali,MID,47.48,irontogold,10.41,6.19,no change
Akali,TOP,47.19,irontogold,10.41,2.49,no change
Akshan,MID,50.78,irontogold,26.71,5.32,no change
Akshan,TOP,50.77,irontogold,26.71,0.94,no change
Akshan,ADC,48.77,irontogold,26.71,2.59,no change
Alistar,SUPPORT,50.04,irontogold,1.43,4.35,no change
Amumu,JUNGLE,54.76,irontogold,6.69,9.96,no change
Anivia,MID,50.92,irontogold,2.57,2.99,no change
Anivia,SUPPORT,46.83,irontogold,2.57,0.56,no change
Annie,MID,52.39,irontogold,1.6,2.8,no change
Aphelios,ADC,48.44,irontogold,2.39,5.64,nerf
Ashe,ADC,52.28,irontogold,7.43,17.31,nerf
Aurelion Sol,MID,49.69,irontogold,0.21,0.55,no change
Azir,MID,44.62,irontogold,0.21,1.28,no change
Bard,SUPPORT,49.54,irontogold,0.39,2.27,no change
Blitzcrank,SUPPORT,50.87,irontogold,17.32,7.56,no change
Brand,SUPPORT,52.1,irontogold,10.81,6.61,no change
Brand,MID,53.19,irontogold,10.81,1.23,no change
Braum,SUPPORT,50.38,irontogold,0.53,3.56,no change
Caitlyn,ADC,48.51,irontogold,9.08,13.89,no change
Camille,TOP,50.3,irontogold,8.06,6.59,nerf
Cassiopeia,MID,49.58,irontogold,2.23,2.75,no change
Cassiopeia,TOP,49.7,irontogold,2.23,0.62,no change
Cho'Gath,TOP,50.37,irontogold,1.32,2.41,no change
Cho'Gath,MID,51.22,irontogold,1.32,0.46,no change
Corki,MID,52.8,irontogold,0.32,1.26,no change
Darius,TOP,47.46,irontogold,20.51,6.57,no change
Diana,JUNGLE,49.5,irontogold,8.76,6.06,no change
Diana,MID,51.29,irontogold,8.76,3.24,no change
Dr. Mundo,TOP,51.95,irontogold,5.3,4.08,buff
Draven,ADC,49.48,irontogold,6.29,4.42,tweak
Ekko,JUNGLE,50.6,irontogold,6.94,9.2,no change
Ekko,MID,50.05,irontogold,6.94,3.25,no change
Elise,JUNGLE,48.59,irontogold,2.86,1.99,no change
Evelynn,JUNGLE,48.61,irontogold,7.81,5.05,no change
Ezreal,ADC,48.41,irontogold,9.75,20.79,no change
Fiddlesticks,JUNGLE,50.78,irontogold,2.52,4.04,no change
Fiora,TOP,50.45,irontogold,10.14,5.92,no change
Fizz,MID,49.74,irontogold,7.39,4.13,tweak
Galio,MID,49.85,irontogold,0.79,2.05,no change
Galio,SUPPORT,49.29,irontogold,0.79,1.73,no change
Gangplank,TOP,43.21,irontogold,1.83,4.24,buff
Gangplank,MID,45.73,irontogold,1.83,1.4,buff
Garen,TOP,51.83,irontogold,3.96,6.96,no change
Garen,MID,54.87,irontogold,3.96,0.89,no change
Gnar,TOP,49.07,irontogold,1.37,3.39,no change
Gragas,JUNGLE,46.14,irontogold,0.2,1.44,no change
Gragas,TOP,45.8,irontogold,0.2,0.34,no change
Gragas,SUPPORT,45.01,irontogold,0.2,0.35,no change
Graves,JUNGLE,49.92,irontogold,5.39,6.29,no change
Graves,MID,53.19,irontogold,5.39,2.35,no change
Gwen,TOP,45.94,irontogold,5.12,2.79,no change
Gwen,MID,46.89,irontogold,5.12,0.38,no change
Gwen,JUNGLE,46.37,irontogold,5.12,0.48,no change
Hecarim,JUNGLE,48.39,irontogold,1.76,3.11,no change
Heimerdinger,MID,52.14,irontogold,1.77,1.21,no change
Heimerdinger,TOP,50.3,irontogold,1.77,1.17,no change
Illaoi,TOP,50.87,irontogold,6.1,3.27,no change
Irelia,TOP,51.13,irontogold,38.39,8.23,no change
Irelia,MID,51.47,irontogold,38.39,7,no change
Ivern,JUNGLE,47.96,irontogold,0.27,0.8,no change
Ivern,SUPPORT,46.5,irontogold,0.27,0.09,no change
Janna,SUPPORT,49.5,irontogold,0.18,2.58,no change
Jarvan IV,JUNGLE,51.84,irontogold,4.43,7.92,no change
Jax,TOP,50.07,irontogold,5.23,5.51,no change
Jax,JUNGLE,50.05,irontogold,5.23,1.96,no change
Jayce,MID,49.04,irontogold,0.95,0.95,nerf
Jayce,TOP,46.55,irontogold,0.95,2.97,nerf
Jhin,ADC,50.95,irontogold,5.35,16.44,no change
Jinx,ADC,49.03,irontogold,1.09,8.23,buff
Kai'Sa,ADC,48.53,irontogold,2.93,10.6,no change
Kalista,ADC,47.04,irontogold,0.37,1.78,buff
Karma,SUPPORT,46.86,irontogold,0.87,4.46,buff
Karthus,MID,50.27,irontogold,0.89,0.25,no change
Karthus,JUNGLE,49.36,irontogold,0.89,1.55,no change
Kassadin,MID,48.75,irontogold,3.67,3.08,no change
Katarina,MID,49.2,irontogold,15.43,8.83,no change
Kayle,MID,54.68,irontogold,1.18,1.07,no change
Kayle,TOP,51.76,irontogold,1.18,3.36,no change
Kayn,JUNGLE,49.87,irontogold,11.52,10.88,no change
Kennen,MID,52.2,irontogold,0.84,0.76,no change
Kennen,TOP,49.86,irontogold,0.84,2.89,no change
Kha'Zix,JUNGLE,49.31,irontogold,8.31,8,no change
Kindred,JUNGLE,48.38,irontogold,1.87,3.77,no change
Kled,MID,54.4,irontogold,1.05,0.28,no change
Kled,TOP,49.98,irontogold,1.05,1.64,no change
Kog'Maw,ADC,51.47,irontogold,0.67,2.13,no change
LeBlanc,MID,47.54,irontogold,11.41,6.89,no change
Lee Sin,JUNGLE,47.23,irontogold,20.16,14.54,nerf
Leona,SUPPORT,50.18,irontogold,24.41,10.19,no change
Lillia,TOP,53.01,irontogold,1.3,1.81,buff
Lillia,JUNGLE,50.78,irontogold,1.3,2.52,buff
Lissandra,MID,49.63,irontogold,0.77,2.35,no change
Lucian,ADC,47.44,irontogold,3.68,10.55,no change
Lucian,MID,45.56,irontogold,3.68,2.78,no change
Lulu,SUPPORT,49.08,irontogold,17.32,9.58,no change
Lux,SUPPORT,50.09,irontogold,7.7,13.52,no change
Lux,MID,51.68,irontogold,7.7,5.29,no change
Malphite,TOP,51.32,irontogold,5.21,5.11,no change
Malphite,MID,52.15,irontogold,5.21,1.39,no change
Malphite,SUPPORT,48.32,irontogold,5.21,1.6,no change
Malzahar,MID,52.3,irontogold,4.85,3.49,no change
Malzahar,TOP,53.45,irontogold,4.85,0.42,no change
Maokai,SUPPORT,51.55,irontogold,0.36,2.09,no change
Maokai,TOP,51.12,irontogold,0.36,0.66,no change
Master Yi,JUNGLE,51.86,irontogold,24.92,10.79,no change
Miss Fortune,ADC,50.32,irontogold,1.79,11.07,buff
Mordekaiser,TOP,50.51,irontogold,11.49,7.82,no change
Mordekaiser,MID,54.14,irontogold,11.49,1.08,no change
Morgana,SUPPORT,50.31,irontogold,35.57,11.65,buff
Nami,SUPPORT,51.66,irontogold,0.35,5.7,no change
Nasus,TOP,51.9,irontogold,6.68,5.75,no change
Nautilus,SUPPORT,49.47,irontogold,10.31,7.72,no change
Neeko,MID,50.16,irontogold,0.57,1.84,no change
Neeko,SUPPORT,48.16,irontogold,0.57,0.83,no change
Nidalee,JUNGLE,45.59,irontogold,1.66,4.03,no change
Nocturne,JUNGLE,50.68,irontogold,8.09,5.91,no change
Olaf,JUNGLE,47.58,irontogold,1.57,1.9,no change
Olaf,TOP,46.37,irontogold,1.57,0.32,no change
Orianna,MID,47.45,irontogold,0.27,2.79,no change
Ornn,TOP,51.44,irontogold,0.62,3.08,no change
Pantheon,MID,50.96,irontogold,3.54,2.74,no change
Pantheon,TOP,49.11,irontogold,3.54,0.96,no change
Pantheon,SUPPORT,46.63,irontogold,3.54,2.69,no change
Poppy,JUNGLE,49.57,irontogold,0.79,1.77,no change
Poppy,TOP,48.93,irontogold,0.79,0.86,no change
Poppy,SUPPORT,48.13,irontogold,0.79,0.31,no change
Pyke,SUPPORT,47.91,irontogold,13.9,8.33,no change
Qiyana,MID,45.71,irontogold,1.96,3.44,tweak
Quinn,MID,52.57,irontogold,1.19,0.28,no change
Quinn,TOP,49.91,irontogold,1.19,1.65,no change
Rakan,SUPPORT,49.2,irontogold,0.29,4.16,no change
Rammus,JUNGLE,51.85,irontogold,5.24,2.85,no change
Rek'Sai,JUNGLE,48.21,irontogold,0.62,1.35,no change
Rell,SUPPORT,51.43,irontogold,0.92,1.93,no change
Renekton,TOP,46.32,irontogold,3.49,4.39,nerf
Renekton,MID,49.53,irontogold,3.49,0.95,nerf
Rengar,TOP,47.32,irontogold,1.52,0.87,tweak
Rengar,JUNGLE,44.57,irontogold,1.52,2.8,tweak
Riven,TOP,48.94,irontogold,1.82,4.66,no change
Riven,MID,52.86,irontogold,1.82,0.77,no change
Rumble,MID,50.74,irontogold,0.27,0.4,tweak
Rumble,TOP,47.32,irontogold,0.27,0.48,tweak
Rumble,JUNGLE,46.03,irontogold,0.27,0.77,tweak
Ryze,MID,46.43,irontogold,0.65,4.58,no change
Ryze,TOP,47.02,irontogold,0.65,1.39,no change
Samira,ADC,49.92,irontogold,28.57,9.49,no change
Sejuani,JUNGLE,49.57,irontogold,0.27,1.63,no change
Senna,SUPPORT,48.72,irontogold,5.4,8.38,no change
Senna,ADC,50.95,irontogold,5.4,1.8,no change
Seraphine,MID,51.82,irontogold,2.1,0.64,no change
Seraphine,SUPPORT,49.77,irontogold,2.1,4.98,no change
Sett,TOP,51.16,irontogold,16.81,11.17,no change
Sett,MID,54.13,irontogold,16.81,1.83,no change
Sett,SUPPORT,46.38,irontogold,16.81,1.77,no change
Shaco,JUNGLE,49.11,irontogold,24.27,7.41,no change
Shaco,SUPPORT,51.87,irontogold,24.27,1.38,no change
Shen,TOP,50.68,irontogold,1.11,3.92,no change
Shen,SUPPORT,49.41,irontogold,1.11,0.62,no change
Shyvana,JUNGLE,51.71,irontogold,0.57,2.58,no change
Singed,TOP,50.5,irontogold,0.23,1.31,tweak
Sion,TOP,50.63,irontogold,0.23,2.24,no change
Sion,MID,52.09,irontogold,0.23,0.37,no change
Sivir,ADC,50.61,irontogold,0.98,4,no change
Skarner,JUNGLE,50.87,irontogold,0.15,0.68,no change
Sona,SUPPORT,53.31,irontogold,0.52,4.57,no change
Soraka,SUPPORT,50.41,irontogold,0.88,4.71,tweak
Swain,MID,53.82,irontogold,4.81,0.63,no change
Swain,SUPPORT,51.14,irontogold,4.81,4.32,no change
Sylas,MID,48.08,irontogold,7.74,6.66,no change
Sylas,TOP,47.82,irontogold,7.74,2.74,no change
Syndra,MID,47.5,irontogold,0.87,3.1,no change
Tahm Kench,TOP,50.77,irontogold,19.41,5.46,no change
Taliyah,MID,47.87,irontogold,0.08,0.11,nerf
Taliyah,SUPPORT,49.71,irontogold,0.08,0.09,nerf
Taliyah,JUNGLE,46.71,irontogold,0.08,0.53,nerf
Talon,MID,49.62,irontogold,3.3,3.74,nerf
Taric,SUPPORT,51.52,irontogold,0.14,1.15,no change
Teemo,TOP,51.05,irontogold,7.9,7.28,no change
Thresh,SUPPORT,47.86,irontogold,7.15,11.77,tweak
Tristana,ADC,49.64,irontogold,9.73,11.07,no change
Trundle,JUNGLE,52.73,irontogold,4.06,5.15,nerf
Trundle,TOP,51.1,irontogold,4.06,2.43,nerf
Tryndamere,MID,52.13,irontogold,5.25,0.89,no change
Tryndamere,TOP,48.25,irontogold,5.25,3.97,no change
Twisted Fate,MID,46.97,irontogold,0.2,3.24,no change
Twitch,ADC,49.24,irontogold,2.19,4.53,buff
Twitch,JUNGLE,44.3,irontogold,2.19,0.66,buff
Udyr,JUNGLE,47.36,irontogold,0.69,1.37,no change
Urgot,TOP,51.46,irontogold,3,3.73,buff
Varus,ADC,47.92,irontogold,0.81,5.45,nerf
Vayne,ADC,51.39,irontogold,13.89,12.98,no change
Vayne,TOP,50.32,irontogold,13.89,2.23,no change
Veigar,MID,50.95,irontogold,1.9,4.5,no change
Veigar,SUPPORT,49.39,irontogold,1.9,1.34,no change
Vel'Koz,MID,51.45,irontogold,1.04,1.38,no change
Vel'Koz,SUPPORT,50.42,irontogold,1.04,2.66,no change
Vi,JUNGLE,51.91,irontogold,0.71,3.56,no change
Viego,JUNGLE,48.46,irontogold,19.82,9.64,no change
Viktor,MID,51.3,irontogold,0.38,2.29,no change
Vladimir,MID,49.51,irontogold,3.84,2.93,no change
Vladimir,TOP,48.88,irontogold,3.84,1.17,no change
Volibear,JUNGLE,50.94,irontogold,3.02,3.84,no change
Volibear,TOP,49.28,irontogold,3.02,2.72,no change
Warwick,JUNGLE,51.06,irontogold,4.41,6.95,no change
Warwick,TOP,49.96,irontogold,4.41,1.01,no change
Wukong,MID,53.63,irontogold,1.33,0.43,no change
Wukong,TOP,51.41,irontogold,1.33,2.65,no change
Wukong,JUNGLE,50.07,irontogold,1.33,0.6,no change
Xayah,ADC,48.76,irontogold,0.79,5.65,no change
Xerath,SUPPORT,51.16,irontogold,8.22,5.33,no change
Xerath,MID,50.79,irontogold,8.22,2.61,no change
Xin Zhao,JUNGLE,50.76,irontogold,9.97,6.75,no change
Yasuo,MID,51.76,irontogold,29.88,14.13,no change
Yasuo,TOP,51.91,irontogold,29.88,3.17,no change
Yasuo,ADC,52.07,irontogold,29.88,2.21,no change
Yone,MID,51.77,irontogold,15.09,9.3,buff
Yone,TOP,50.94,irontogold,15.09,2.85,buff
Yorick,TOP,52,irontogold,2.59,3.18,no change
Yuumi,SUPPORT,50.15,irontogold,11.61,8.89,buff
Zac,JUNGLE,51.75,irontogold,1.6,3.75,no change
Zed,MID,48.13,irontogold,46.03,11.46,tweak
Ziggs,ADC,52.69,irontogold,6.11,3.92,no change
Ziggs,MID,50.52,irontogold,6.11,1.97,no change
Zilean,SUPPORT,51.4,irontogold,0.72,2.56,no change
Zoe,MID,45.37,irontogold,0.81,2.17,buff
Zyra,SUPPORT,52.27,irontogold,3.97,5.74,no change
Aatrox,TOP,47.83,irontogold,8.21,6.27,tweak
Ahri,MID,50.23,irontogold,2.2,5.9,no change
Akali,MID,47.16,irontogold,23.96,9.02,nerf
Akali,TOP,47.16,irontogold,23.96,3.7,nerf
Alistar,SUPPORT,51.19,irontogold,1.3,5.76,no change
Amumu,JUNGLE,52.55,irontogold,4.71,5.32,no change
Anivia,MID,52.85,irontogold,11.38,5.08,no change
Anivia,SUPPORT,49.22,irontogold,11.38,0.65,no change
Annie,MID,52.62,irontogold,1.36,2.99,no change
Aphelios,ADC,48.06,irontogold,1.35,4.1,no change
Ashe,ADC,50.04,irontogold,4.33,10.51,no change
Ashe,SUPPORT,47.99,irontogold,4.33,2.71,no change
Aurelion Sol,MID,51.76,irontogold,0.2,0.77,no change
Azir,MID,44.54,irontogold,0.2,1.16,buff
Bard,SUPPORT,50.73,irontogold,0.42,2.85,no change
Blitzcrank,SUPPORT,50.03,irontogold,15.06,6.62,no change
Brand,SUPPORT,52.41,irontogold,12.58,6.46,no change
Brand,MID,53.74,irontogold,12.58,1.65,no change
Braum,SUPPORT,49.66,irontogold,0.47,2.51,no change
Caitlyn,ADC,47.35,irontogold,8.47,10.97,buff
Camille,TOP,49.76,irontogold,6.39,6.15,no change
Cassiopeia,TOP,51.05,irontogold,1.29,0.37,no change
Cassiopeia,MID,50.34,irontogold,1.29,2.04,no change
Cho'Gath,TOP,53.12,irontogold,1.23,3.31,no change
Cho'Gath,MID,53.5,irontogold,1.23,0.6,no change
Corki,MID,49.37,irontogold,0.23,0.76,no change
Corki,ADC,48.56,irontogold,0.23,0.12,no change
Darius,TOP,50.37,irontogold,42.08,9.5,nerf
Diana,MID,52.26,irontogold,4.94,6.03,no change
Dr. Mundo,JUNGLE,49.84,irontogold,0.84,1.13,no change
Dr. Mundo,TOP,46.54,irontogold,0.84,1.17,no change
Draven,ADC,47.84,irontogold,4.48,3.95,no change
Ekko,JUNGLE,51.84,irontogold,8.94,7.71,no change
Ekko,MID,51.29,irontogold,8.94,5.41,no change
Elise,JUNGLE,52.19,irontogold,4.4,4.83,nerf
Evelynn,JUNGLE,49.43,irontogold,7.15,4.77,no change
Ezreal,ADC,47.45,irontogold,3.89,15.06,no change
Fiddlesticks,JUNGLE,51.41,irontogold,2.36,3.67,no change
Fiora,TOP,48.69,irontogold,6.51,4.59,no change
Fizz,MID,52.15,irontogold,21.87,7.28,no change
Galio,MID,52.46,irontogold,1.82,3.83,no change
Galio,SUPPORT,52.06,irontogold,1.82,1.46,no change
Gangplank,TOP,45.78,irontogold,0.76,2.2,no change
Gangplank,MID,47.22,irontogold,0.76,0.37,no change
Garen,TOP,52.5,irontogold,5.63,9.19,no change
Gnar,TOP,49.78,irontogold,1.38,4.49,no change
Gragas,MID,51.95,irontogold,0.5,0.45,no change
Gragas,TOP,49.72,irontogold,0.5,1.06,no change
Gragas,JUNGLE,48.13,irontogold,0.5,2.4,no change
Graves,JUNGLE,47.54,irontogold,18.88,10.61,no change
Hecarim,JUNGLE,51.37,irontogold,13.69,10.31,no change
Heimerdinger,MID,52.05,irontogold,1.32,1.35,no change
Heimerdinger,TOP,51.67,irontogold,1.32,0.92,no change
Illaoi,TOP,50.85,irontogold,9.08,4.08,no change
Irelia,TOP,46.18,irontogold,9.29,6.62,no change
Irelia,MID,46.08,irontogold,9.29,4.5,no change
Ivern,JUNGLE,52.06,irontogold,0.97,2.13,no change
Janna,SUPPORT,50.24,irontogold,0.36,4.11,no change
Jarvan IV,JUNGLE,49.3,irontogold,0.31,2.64,no change
Jax,TOP,48.66,irontogold,6.83,4.42,no change
Jax,JUNGLE,48.69,irontogold,6.83,3.95,no change
Jayce,MID,49.62,irontogold,0.62,0.79,no change
Jayce,TOP,46.99,irontogold,0.62,1.96,no change
Jhin,ADC,51.71,irontogold,24.03,26.13,no change
Jinx,ADC,49.06,irontogold,0.59,5.88,no change
Kai'Sa,ADC,50.27,irontogold,9.48,25.03,no change
Kalista,ADC,46.83,irontogold,0.36,1.64,no change
Kalista,TOP,44.24,irontogold,0.36,0.3,no change
Karma,SUPPORT,46.29,irontogold,0.28,3.05,no change
Karthus,JUNGLE,51.25,irontogold,0.58,1.5,no change
Karthus,MID,50.44,irontogold,0.58,0.24,no change
Kassadin,MID,48.81,irontogold,3.19,2.91,no change
Katarina,MID,49.25,irontogold,19.92,10.1,no change
Kayle,TOP,50.4,irontogold,1.45,2.53,no change
Kayle,MID,51.26,irontogold,1.45,0.42,no change
Kayn,JUNGLE,49.66,irontogold,20.13,14.35,no change
Kennen,MID,52.97,irontogold,0.34,0.43,no change
Kennen,TOP,49.74,irontogold,0.34,1.81,no change
Kha'Zix,JUNGLE,49.72,irontogold,20.4,11.72,no change
Kindred,JUNGLE,47.18,irontogold,0.91,3.65,no change
Kled,MID,54.23,irontogold,0.94,0.25,no change
Kled,TOP,50.79,irontogold,0.94,1.79,no change
Kog'Maw,ADC,50.02,irontogold,0.15,0.92,no change
LeBlanc,MID,46.88,irontogold,3.81,3.18,buff
Lee Sin,JUNGLE,46.03,irontogold,5.65,10.3,no change
Leona,SUPPORT,51.26,irontogold,27.53,12.24,no change
Lillia,JUNGLE,47.99,irontogold,2.1,4.48,no change
Lissandra,MID,49.72,irontogold,0.34,1.49,no change
Lucian,ADC,47.64,irontogold,6.66,12.77,no change
Lucian,MID,46.48,irontogold,6.66,4.18,no change
Lulu,SUPPORT,49.82,irontogold,5.53,8.67,no change
Lux,SUPPORT,49.28,irontogold,6.17,12.64,no change
Lux,MID,51.21,irontogold,6.17,5.68,no change
Malphite,TOP,52.07,irontogold,18.96,9.08,no change
Malphite,MID,52.41,irontogold,18.96,1.78,no change
Malphite,SUPPORT,48.35,irontogold,18.96,2.95,no change
Malzahar,MID,53.19,irontogold,4.01,3.75,no change
Maokai,SUPPORT,53.52,irontogold,6.33,6.18,tweak
Maokai,TOP,52.13,irontogold,6.33,0.98,tweak
Master Yi,JUNGLE,50.62,irontogold,31.36,12.13,no change
Miss Fortune,ADC,52,irontogold,8.73,19.63,no change
Mordekaiser,TOP,49.34,irontogold,8.46,7.51,no change
Mordekaiser,MID,52.84,irontogold,8.46,0.97,no change
Morgana,SUPPORT,50.14,irontogold,35.11,12.27,no change
Morgana,MID,53.09,irontogold,35.11,1.56,no change
Nami,SUPPORT,51.24,irontogold,0.38,5.3,no change
Nasus,TOP,52.73,irontogold,5.57,6.64,no change
Nautilus,SUPPORT,49.84,irontogold,9.68,8.62,no change
Neeko,MID,51.5,irontogold,0.96,2.99,no change
Neeko,SUPPORT,47.9,irontogold,0.96,0.92,no change
Nidalee,JUNGLE,45.8,irontogold,0.67,3.03,no change
Nocturne,JUNGLE,48.18,irontogold,1.58,3.7,buff
Olaf,JUNGLE,51.77,irontogold,14.89,6.94,tweak
Orianna,MID,47.87,irontogold,0.54,3.38,no change
Ornn,TOP,51.44,irontogold,1.77,4.8,no change
Pantheon,MID,51.54,irontogold,20.73,3.44,no change
Pantheon,TOP,49.83,irontogold,20.73,2.52,no change
Pantheon,JUNGLE,50.47,irontogold,20.73,2.24,no change
Pantheon,SUPPORT,47.03,irontogold,20.73,5.43,no change
Poppy,TOP,49.32,irontogold,0.65,2.02,no change
Poppy,JUNGLE,51.09,irontogold,0.65,0.95,no change
Pyke,SUPPORT,46.47,irontogold,12.84,7.38,no change
Pyke,MID,50.58,irontogold,12.84,1.15,no change
Qiyana,MID,45.29,irontogold,0.25,1.54,no change
Quinn,TOP,49.9,irontogold,2.14,2.42,no change
Quinn,MID,51.79,irontogold,2.14,0.39,no change
Rakan,SUPPORT,48.83,irontogold,0.24,3.35,no change
Rammus,JUNGLE,54.52,irontogold,8.15,4.66,no change
Rek'Sai,JUNGLE,47.82,irontogold,0.66,1.87,no change
Rell,SUPPORT,52.24,irontogold,3.37,3.62,no change
Renekton,TOP,47.6,irontogold,6.76,6.15,no change
Renekton,MID,51.37,irontogold,6.76,1.04,no change
Rengar,TOP,48.96,irontogold,1.73,1.02,no change
Rengar,JUNGLE,45.54,irontogold,1.73,2.85,no change
Riven,TOP,47.04,irontogold,1,3.75,no change
Riven,MID,50.59,irontogold,1,0.55,no change
Rumble,MID,52.14,irontogold,0.29,0.75,no change
Rumble,TOP,46.78,irontogold,0.29,1.05,no change
Ryze,MID,46.55,irontogold,0.28,2.2,no change
Ryze,TOP,46.6,irontogold,0.28,0.85,no change
Samira,ADC,47.21,irontogold,42.53,11.23,no change
Sejuani,JUNGLE,50.57,irontogold,0.23,2.1,no change
Senna,ADC,47.59,irontogold,1.85,1.51,buff
Senna,SUPPORT,44.84,irontogold,1.85,4.78,buff
Seraphine,SUPPORT,52.07,irontogold,7.38,7.89,no change
Seraphine,MID,53.2,irontogold,7.38,1.19,no change
Sett,TOP,49.34,irontogold,6.39,7.73,no change
Sett,MID,51.91,irontogold,6.39,1.25,no change
Sett,SUPPORT,46.48,irontogold,6.39,2.2,no change
Shaco,SUPPORT,52.88,irontogold,11.08,2.47,buff
Shaco,JUNGLE,48.6,irontogold,11.08,4.96,buff
Shen,TOP,50.7,irontogold,2.93,6.23,no change
Shyvana,TOP,49.79,irontogold,0.27,0.25,no change
Shyvana,JUNGLE,48.28,irontogold,0.27,1.82,no change
Singed,TOP,49.92,irontogold,0.19,1.02,no change
Sion,TOP,52.35,irontogold,0.3,2.34,no change
Sivir,ADC,50.08,irontogold,0.18,1.83,no change
Skarner,JUNGLE,54.07,irontogold,0.19,1.08,no change
Sona,SUPPORT,51.79,irontogold,0.11,2.17,no change
Soraka,SUPPORT,47.99,irontogold,0.62,3.53,buff
Swain,MID,55.15,irontogold,6.72,1.03,no change
Swain,SUPPORT,51.92,irontogold,6.72,5.32,no change
Sylas,MID,48.06,irontogold,3.92,4.87,no change
Sylas,TOP,47.22,irontogold,3.92,2.01,no change
Syndra,MID,47.15,irontogold,1.1,3.02,no change
Tahm Kench,TOP,48.09,irontogold,0.42,0.99,no change
Tahm Kench,SUPPORT,44.31,irontogold,0.42,0.46,no change
Taliyah,JUNGLE,48.44,irontogold,1.49,2.52,no change
Talon,MID,48.09,irontogold,1.31,3.35,no change
Taric,SUPPORT,50.89,irontogold,0.12,1.09,no change
Teemo,TOP,51.96,irontogold,11.19,6.85,no change
Thresh,SUPPORT,49.11,irontogold,4.34,12.16,no change
Tristana,ADC,51.07,irontogold,5,11.89,no change
Trundle,TOP,48.89,irontogold,0.14,0.38,buff
Trundle,JUNGLE,47.51,irontogold,0.14,0.95,buff
Tryndamere,TOP,47.34,irontogold,3.17,3.12,no change
Tryndamere,MID,50.71,irontogold,3.17,0.46,no change
Tryndamere,JUNGLE,46.53,irontogold,3.17,0.47,no change
Twisted Fate,MID,47.83,irontogold,0.2,2.7,no change
Twitch,ADC,50.01,irontogold,1.65,3.85,no change
Twitch,JUNGLE,44.03,irontogold,1.65,0.54,no change
Udyr,JUNGLE,51.91,irontogold,1.21,3.17,no change
Urgot,TOP,51.57,irontogold,4.48,4.98,no change
Varus,ADC,47.05,irontogold,0.22,2.32,buff
Vayne,ADC,51.14,irontogold,13.93,13.18,no change
Vayne,TOP,48.23,irontogold,13.93,2.69,no change
Veigar,MID,50.49,irontogold,1.53,4.24,no change
Veigar,SUPPORT,47.83,irontogold,1.53,0.92,no change
Vel'Koz,MID,51.86,irontogold,0.67,1.58,no change
Vel'Koz,SUPPORT,50.11,irontogold,0.67,2.25,no change
Vi,JUNGLE,51.74,irontogold,1.16,5.4,tweak
Viktor,MID,52.58,irontogold,1.36,4.11,no change
Vladimir,MID,49.93,irontogold,2.67,2.95,no change
Vladimir,TOP,48.44,irontogold,2.67,1.19,no change
Volibear,TOP,50.63,irontogold,3.12,3.94,no change
Volibear,JUNGLE,50.13,irontogold,3.12,3.26,no change
Warwick,JUNGLE,51.36,irontogold,2.94,7.19,no change
Warwick,TOP,50.03,irontogold,2.94,0.82,no change
Wukong,TOP,51.7,irontogold,1.43,3.29,no change
Wukong,JUNGLE,50.73,irontogold,1.43,1.05,no change
Xayah,ADC,47.83,irontogold,0.4,3.66,no change
Xerath,MID,50.44,irontogold,2.77,2.31,no change
Xerath,SUPPORT,49.55,irontogold,2.77,3.22,no change
