champ,role,winrate,banrate,pickrate,change,rank
Xin Zhao,JUNGLE,57.65,15.96,15.8,no change,challenger
Yasuo,ADC,73.08,6.76,1.83,no change,challenger
Yasuo,MID,54.17,6.76,5.42,no change,challenger
Yone,MID,50.7,9.91,6.1,no change,challenger
Yone,TOP,38.46,9.91,2.04,no change,challenger
Yuumi,SUPPORT,47.46,11.16,10.8,no change,challenger
Zac,JUNGLE,45.71,2.88,4.71,no change,challenger
Zed,MID,61.54,20.02,6.88,no change,challenger
Ziggs,ADC,63.04,0.33,2.27,no change,challenger
Ziggs,MID,43.18,0.33,2.59,no change,challenger
Zilean,SUPPORT,44.44,3.13,3.58,no change,challenger
Zoe,MID,66.04,3.09,3.99,no change,challenger
Zyra,SUPPORT,50,0.75,2.44,no change,challenger
Aatrox,TOP,46,2.25,5.44,no change,challenger
Ahri,MID,50,0.62,3.36,no change,challenger
Akali,MID,51.13,33.76,10.56,nerf,challenger
Akali,TOP,51,33.76,6.54,nerf,challenger
Alistar,SUPPORT,57.38,2.14,5.78,no change,challenger
Anivia,MID,50.94,3.29,2.79,no change,challenger
Aphelios,ADC,43.1,1.93,11.62,no change,challenger
Ashe,ADC,38.64,0.41,4.19,no change,challenger
Bard,SUPPORT,53.27,2.22,6.24,no change,challenger
Blitzcrank,SUPPORT,51.06,3.43,3.52,no change,challenger
Brand,SUPPORT,34.48,0.46,1.58,no change,challenger
Braum,SUPPORT,59.7,0.29,4.72,no change,challenger
Caitlyn,ADC,56.94,0.84,5.5,no change,challenger
Camille,TOP,57.01,5.76,9.62,no change,challenger
Corki,MID,59.26,0.18,2.11,no change,challenger
Darius,TOP,50,12.96,2.86,buff,challenger
Diana,JUNGLE,53.16,11.48,14.58,no change,challenger
Dr. Mundo,TOP,41.18,6.85,5.48,tweak,challenger
Draven,ADC,60,11.85,8.3,no change,challenger
Ekko,MID,53.95,2.28,3.91,no change,challenger
Ekko,JUNGLE,49.33,2.28,4.29,no change,challenger
Elise,JUNGLE,53.33,5.03,3.24,no change,challenger
Evelynn,JUNGLE,59.18,15.09,4.36,no change,challenger
Ezreal,ADC,49.2,31.4,31.91,no change,challenger
Fiddlesticks,JUNGLE,46.34,12.17,4.4,no change,challenger
Fiora,TOP,46.09,15.03,9.03,no change,challenger
Galio,MID,59.42,1.35,3.79,no change,challenger
Galio,SUPPORT,56,1.35,2.45,no change,challenger
Gangplank,TOP,55,2.2,3.11,no change,challenger
Gnar,TOP,68.97,1.22,3.59,no change,challenger
Gragas,SUPPORT,43.33,0.32,1.29,no change,challenger
Gragas,JUNGLE,30,0.32,2.41,no change,challenger
Graves,JUNGLE,55.42,1.37,3.99,buff,challenger
Gwen,TOP,51.24,45.21,9.22,no change,challenger
Gwen,JUNGLE,69.23,45.21,2.41,no change,challenger
Gwen,MID,50,45.21,1.28,no change,challenger
Hecarim,JUNGLE,48.35,4.18,6.18,no change,challenger
Irelia,MID,40.54,10.52,2.23,tweak,challenger
Irelia,TOP,34.38,10.52,4.2,tweak,challenger
Janna,SUPPORT,56.44,1.11,6.99,no change,challenger
Jax,TOP,52.73,7.24,5.21,no change,challenger
Jayce,TOP,44.32,1.61,5,no change,challenger
Jayce,MID,48.28,1.61,1.78,no change,challenger
Jhin,ADC,49.55,0.46,10.08,no change,challenger
Jinx,ADC,53.89,1.38,11.23,no change,challenger
Kai'Sa,ADC,46.67,3.76,19.52,no change,challenger
Kalista,ADC,46.77,1.9,6.86,no change,challenger
Karma,SUPPORT,50.23,11.45,16.94,nerf,challenger
Karthus,JUNGLE,50.98,7.08,3.82,no change,challenger
Kassadin,MID,51.43,24.14,4.84,no change,challenger
Katarina,MID,52.05,19.77,6.98,no change,challenger
Kayle,MID,67.57,1.75,2.22,no change,challenger
Kayle,TOP,54.84,1.75,2.97,no change,challenger
Kayn,JUNGLE,54.55,14.67,9.63,no change,challenger
Kennen,TOP,44.83,0.38,2.04,no change,challenger
Kha'Zix,JUNGLE,53.91,10.14,9.51,no change,challenger
Kindred,JUNGLE,52.63,8.91,6.22,no change,challenger
Kled,TOP,52.17,0.8,2.75,no change,challenger
Kog'Maw,ADC,61.29,3.61,7.65,no change,challenger
LeBlanc,MID,52.45,6.84,7.97,no change,challenger
Lee Sin,JUNGLE,55.37,22.59,19.74,no change,challenger
Lee Sin,TOP,56.94,22.59,4.73,no change,challenger
Leona,SUPPORT,51.5,9.92,11.65,no change,challenger
Lissandra,MID,57.69,0.24,1.95,no change,challenger
Lucian,MID,49,4.38,5.9,no change,challenger
Lucian,TOP,62.22,4.38,2.2,no change,challenger
Lucian,ADC,50,4.38,3.37,no change,challenger
Lulu,SUPPORT,52.6,45.74,15.13,no change,challenger
Lux,SUPPORT,51.85,0.45,2.7,no change,challenger
Lux,MID,44.12,0.45,2.66,no change,challenger
Malphite,TOP,45.71,6.82,4.22,no change,challenger
Malzahar,MID,56.31,1.53,3.36,nerf,challenger
Master Yi,JUNGLE,57.14,2.96,2.19,no change,challenger
Miss Fortune,ADC,50.82,0.15,3.11,no change,challenger
Mordekaiser,TOP,44.44,1.78,2.94,no change,challenger
Morgana,SUPPORT,62.5,13.12,3.76,no change,challenger
Nami,SUPPORT,50,0.11,4.74,no change,challenger
Nautilus,SUPPORT,46.01,10.28,12.14,no change,challenger
Nidalee,JUNGLE,46.15,2.25,5.43,no change,challenger
Nocturne,JUNGLE,56.52,31.67,9.09,tweak,challenger
Nocturne,TOP,53.78,31.67,5.93,tweak,challenger
Nocturne,MID,57.78,31.67,2.98,tweak,challenger
Olaf,JUNGLE,36.36,1.42,2.68,no change,challenger
Orianna,MID,51.35,0.26,3.03,no change,challenger
Ornn,TOP,55.56,0.23,2.89,no change,challenger
Pyke,SUPPORT,54.76,3.5,5.77,no change,challenger
Pyke,MID,38.46,3.5,0.79,no change,challenger
Qiyana,MID,44.44,12.96,4.66,no change,challenger
Rakan,SUPPORT,50.91,0.19,6.51,no change,challenger
Rek'Sai,JUNGLE,34.78,1.79,2.6,no change,challenger
Rell,SUPPORT,42.86,0.84,2.37,no change,challenger
Renekton,TOP,62.5,6.79,5.51,no change,challenger
Rengar,JUNGLE,55.74,5.74,2.99,no change,challenger
Riven,TOP,54.65,5.63,6.72,no change,challenger
Riven,MID,55,5.63,1.12,no change,challenger
Rumble,JUNGLE,45.33,5.49,3.79,no change,challenger
Ryze,MID,60.71,0.35,4.59,no change,challenger
Samira,ADC,52.63,13.06,8.59,no change,challenger
Sejuani,JUNGLE,36.36,0.12,1.67,no change,challenger
Senna,SUPPORT,53.28,8.35,9.26,no change,challenger
Seraphine,SUPPORT,44.64,1.45,4.4,buff,challenger
Sett,TOP,41.41,8.83,11.4,no change,challenger
Sett,MID,46.55,8.83,3.27,no change,challenger
Sett,SUPPORT,34.78,8.83,2.67,no change,challenger
Shaco,JUNGLE,45.71,25.84,5.78,nerf,challenger
Shen,TOP,53.19,1.88,4.7,no change,challenger
Sion,TOP,44,0.24,2.72,no change,challenger
Sivir,ADC,48.94,0.21,2.92,no change,challenger
Sona,SUPPORT,51.79,0.33,3.19,no change,challenger
Soraka,SUPPORT,56.25,0.27,4.5,no change,challenger
Sylas,MID,49.71,21.17,13.24,no change,challenger
Sylas,TOP,57.14,21.17,4.82,no change,challenger
Syndra,MID,58.33,0.28,1.7,no change,challenger
Tahm Kench,TOP,69.7,2.45,1.53,tweak,challenger
Tahm Kench,SUPPORT,54.17,2.45,1.58,tweak,challenger
Taliyah,JUNGLE,57.14,0.32,1.74,no change,challenger
Talon,MID,42.22,3.51,3.19,no change,challenger
Taric,SUPPORT,60.47,0.38,2.28,buff,challenger
Thresh,SUPPORT,56.57,20.69,20.14,no change,challenger
Tristana,ADC,54.6,4.37,12.21,no change,challenger
Tryndamere,MID,46.88,6.9,1.49,no change,challenger
Tryndamere,TOP,38.46,6.9,3.21,no change,challenger
Twisted Fate,MID,32.26,0.7,3.31,no change,challenger
Twitch,ADC,51.72,1.52,3.42,no change,challenger
Udyr,JUNGLE,38.1,2.37,1.48,no change,challenger
Urgot,TOP,42.42,1.44,2.64,no change,challenger
Varus,ADC,50.43,4.51,9.19,no change,challenger
Vayne,ADC,48.15,4.6,9.26,no change,challenger
Viego,JUNGLE,52.63,37.69,14.05,no change,challenger
Viego,TOP,61.9,37.69,4.93,no change,challenger
Viego,MID,50,37.69,4.97,no change,challenger
Viktor,MID,55.17,0.32,3.98,no change,challenger
Vladimir,MID,48.89,8.69,4.6,no change,challenger
Vladimir,TOP,50,8.69,1.95,no change,challenger
Volibear,TOP,51.85,2.78,2.94,no change,challenger
Volibear,JUNGLE,38.89,2.78,4.72,no change,challenger
Wukong,TOP,61.11,3.84,4.8,no change,challenger
Xayah,ADC,44.44,0.12,3.77,no change,challenger
Xerath,SUPPORT,52.78,1.39,2.26,no change,challenger
Xerath,MID,39.71,1.39,3.15,no change,challenger
Xin Zhao,JUNGLE,57.14,39.26,18.42,nerf,challenger
Yasuo,MID,49.09,7.12,6.26,no change,challenger
Yasuo,ADC,56.52,7.12,2.01,no change,challenger
Yone,MID,52.05,10.57,6.61,no change,challenger
Yone,TOP,54.55,10.57,2.84,no change,challenger
Yorick,TOP,46.15,1.43,1.95,no change,challenger
Yuumi,SUPPORT,53.33,14.8,11.15,no change,challenger
Zac,JUNGLE,49.06,2.54,5.02,no change,challenger
Zed,MID,57.5,19.68,7.61,no change,challenger
Ziggs,MID,52.17,1.96,3.11,nerf,challenger
Ziggs,ADC,36.11,1.96,5.29,nerf,challenger
Zilean,SUPPORT,62.5,2.36,3.75,no change,challenger
Zoe,MID,67.27,2.61,3.56,no change,challenger
Zyra,SUPPORT,56.6,0.89,2.97,no change,challenger
Aatrox,TOP,57.14,1.71,5.3,no change,challenger
Ahri,MID,42.86,0.63,2.95,no change,challenger
Akali,MID,55.56,13.98,4.22,no change,challenger
Akali,TOP,44.44,13.98,2.83,no change,challenger
Alistar,SUPPORT,42,1.61,6.7,no change,challenger
Anivia,MID,59.09,2.79,2.34,no change,challenger
Aphelios,ADC,51.36,4.94,18.63,no change,challenger
Ashe,ADC,51,0.24,7.36,no change,challenger
Bard,SUPPORT,50.56,3.01,6.21,no change,challenger
Blitzcrank,SUPPORT,47.89,2.92,3.76,buff,challenger
Brand,SUPPORT,56.52,0.36,1.86,no change,challenger
Braum,SUPPORT,54.67,0.45,5.15,no change,challenger
Caitlyn,ADC,48.94,0.55,4.34,buff,challenger
Camille,TOP,50,6.71,12.61,no change,challenger
Cassiopeia,MID,60,0.8,2.33,buff,challenger
Corki,MID,59.09,0.11,1.47,no change,challenger
Darius,TOP,51.35,9.93,3.63,no change,challenger
Diana,JUNGLE,54.11,18.34,18.32,no change,challenger
Dr. Mundo,TOP,49.12,4.81,6.63,no change,challenger
Dr. Mundo,JUNGLE,34.48,4.81,1.64,no change,challenger
Draven,ADC,45,13.95,7.72,no change,challenger
Ekko,MID,51.35,2.48,3.32,no change,challenger
Ekko,JUNGLE,44.32,2.48,3.78,no change,challenger
Elise,JUNGLE,44.19,4.73,2.98,no change,challenger
Evelynn,JUNGLE,47.62,15.56,3.77,no change,challenger
Ezreal,ADC,54.61,16.73,26.4,no change,challenger
Fiddlesticks,JUNGLE,56,9.62,3.43,no change,challenger
Fiora,TOP,61.16,19.21,10.32,no change,challenger
Galio,SUPPORT,64.29,1.52,2.63,no change,challenger
Galio,MID,60.87,1.52,3.66,no change,challenger
Gangplank,TOP,43.4,2.19,3.04,no change,challenger
Gnar,TOP,54.55,0.59,2.76,no change,challenger
Gragas,JUNGLE,54.55,0.19,1.96,no change,challenger
Gragas,SUPPORT,54.29,0.19,1.95,no change,challenger
Graves,JUNGLE,53.11,4.2,10.56,no change,challenger
Graves,MID,57.14,4.2,1.72,no change,challenger
Graves,TOP,50,4.2,1.37,no change,challenger
Gwen,TOP,53.69,48.26,8.61,nerf,challenger
Gwen,JUNGLE,47.32,48.26,5.81,nerf,challenger
Gwen,MID,46.67,48.26,1.56,nerf,challenger
Hecarim,JUNGLE,49.21,2.91,4.82,no change,challenger
Heimerdinger,ADC,52.38,0.66,0.73,no change,challenger
Illaoi,TOP,50,0.4,1.04,no change,challenger
Irelia,TOP,58.43,36.53,12.45,nerf,challenger
Irelia,MID,50.32,36.53,8.68,nerf,challenger
Janna,SUPPORT,48.15,0.81,5.72,no change,challenger
Jax,TOP,49.12,7.16,6.08,no change,challenger
Jayce,TOP,46.53,3.24,6.85,no change,challenger
Jayce,MID,56,3.24,1.91,no change,challenger
Jhin,ADC,52.94,0.36,8.21,no change,challenger
Jinx,ADC,51.72,0.84,9.48,no change,challenger
Kai'Sa,ADC,50.89,1.73,14.75,no change,challenger
Kalista,ADC,50.38,4.58,8.24,no change,challenger
Karma,SUPPORT,44.3,11.11,15.14,no change,challenger
Karthus,JUNGLE,55.56,8.11,4.41,no change,challenger
Kassadin,MID,53.85,18.12,4.4,no change,challenger
Katarina,MID,84,17.82,5.62,no change,challenger
Kayle,MID,58.33,2.08,2.39,nerf,challenger
Kayle,TOP,47.37,2.08,3.01,nerf,challenger
Kayn,JUNGLE,53.26,10.78,8.26,no change,challenger
Kennen,TOP,37.04,0.51,2.1,buff,challenger
Kha'Zix,JUNGLE,47.93,8.29,8.07,no change,challenger
Kindred,JUNGLE,55.06,8.62,7.07,no change,challenger
Kog'Maw,ADC,45.9,3.92,6.63,no change,challenger
LeBlanc,MID,51.68,20.18,11.85,no change,challenger
Lee Sin,JUNGLE,54.94,23.64,23.61,no change,challenger
Lee Sin,TOP,54.93,23.64,4.25,no change,challenger
Leona,SUPPORT,49.37,9.9,14.29,no change,challenger
Lillia,JUNGLE,55.81,0.84,4.16,no change,challenger
Lissandra,MID,71.43,0.36,2.08,no change,challenger
Lucian,MID,42.96,5.45,8.43,no change,challenger
Lucian,TOP,47.46,5.45,2.68,no change,challenger
Lucian,ADC,38.46,5.45,2.77,no change,challenger
Lulu,SUPPORT,45.64,40.59,14.22,no change,challenger
Lux,MID,56,0.44,1.97,no change,challenger
Malphite,TOP,48.57,7.33,3.49,no change,challenger
Malzahar,MID,59.38,0.87,2.27,no change,challenger
Maokai,SUPPORT,55,0.26,2.52,no change,challenger
Master Yi,JUNGLE,43.48,2.39,2.14,no change,challenger
Miss Fortune,ADC,22.22,0.05,2.34,no change,challenger
Morgana,SUPPORT,50,8.24,3.12,no change,challenger
Nami,SUPPORT,54.29,0.09,3.61,no change,challenger
Nautilus,SUPPORT,47.34,9.74,13.16,no change,challenger
Neeko,MID,54.55,0.2,0.88,no change,challenger
Nidalee,JUNGLE,49.25,3.51,5.39,buff,challenger
Nocturne,JUNGLE,56.79,23.9,6.3,no change,challenger
Olaf,JUNGLE,41.94,1,2.54,no change,challenger
Orianna,MID,44.44,0.14,3.11,no change,challenger
Ornn,TOP,45,0.19,2.56,no change,challenger
Poppy,TOP,51.43,0.63,1.89,no change,challenger
Pyke,SUPPORT,45.26,3.07,5.9,no change,challenger
Qiyana,MID,37.74,12.49,4.71,no change,challenger
Quinn,TOP,60.71,0.87,1.23,no change,challenger
Rakan,SUPPORT,57.75,0.34,7.66,no change,challenger
Rell,SUPPORT,54.55,0.65,2.29,buff,challenger
Renekton,TOP,52.27,7.04,6.6,no change,challenger
Renekton,MID,47.83,7.04,1.72,no change,challenger
Rengar,JUNGLE,40.91,4.77,2.19,no change,challenger
Riven,TOP,54.43,5.77,6.36,no change,challenger
Riven,MID,55,5.77,1.32,no change,challenger
Rumble,JUNGLE,56.36,2.51,2.86,tweak,challenger
Rumble,MID,50.98,2.51,2,tweak,challenger
Ryze,MID,46.67,0.88,6.53,no change,challenger
Samira,ADC,51.25,10.33,8.03,no change,challenger
Sejuani,JUNGLE,51.61,0.16,1.42,no change,challenger
Senna,SUPPORT,48.6,6.23,7.53,no change,challenger
Seraphine,ADC,71.43,1.04,1.57,no change,challenger
Seraphine,SUPPORT,61.29,1.04,3.75,no change,challenger
Sett,TOP,48.48,7.83,9.79,no change,challenger
Sett,MID,45.45,7.83,2.77,no change,challenger
Sett,SUPPORT,27.59,7.83,2.81,no change,challenger
Shaco,JUNGLE,54.17,22.12,4.39,no change,challenger
Shen,TOP,51.06,1.31,4.07,no change,challenger
Sivir,ADC,62.16,0.16,2.57,no change,challenger
Sona,SUPPORT,37.5,0.28,2.71,no change,challenger
Soraka,SUPPORT,59.26,0.14,3.27,no change,challenger
Sylas,MID,50.31,17.61,13.71,nerf,challenger
Sylas,TOP,52.94,17.61,4.1,nerf,challenger
Syndra,MID,42.42,0.24,2.15,buff,challenger
Tahm Kench,SUPPORT,52.68,2.25,3.55,no change,challenger
Tahm Kench,TOP,42.25,2.25,3.72,no change,challenger
Taliyah,JUNGLE,52.38,0.37,2.02,no change,challenger
Talon,MID,48.98,4.05,3.45,no change,challenger
Taric,SUPPORT,45.95,0.36,2.3,no change,challenger
Teemo,TOP,42.86,1.88,1.5,no change,challenger
Thresh,SUPPORT,52.6,29.18,21.81,nerf,challenger
Tristana,ADC,55.76,3.8,11.27,no change,challenger
Trundle,TOP,56,0.79,1.48,no change,challenger
Tryndamere,TOP,47.37,8.64,2.89,no change,challenger
Tryndamere,MID,52.17,8.64,1.36,no change,challenger
Twisted Fate,MID,63.83,0.76,3.94,no change,challenger
Twitch,ADC,40,1.24,3.38,no change,challenger
Varus,ADC,54.47,3.74,10.24,no change,challenger
Vayne,ADC,55.79,4.21,10.26,no change,challenger
Vel'Koz,MID,54.17,0.17,1.2,no change,challenger
Viego,JUNGLE,49.8,49.35,15.07,nerf,challenger
Viego,TOP,52.87,49.35,5.97,nerf,challenger
Viego,MID,49.33,49.35,5.28,nerf,challenger
Viktor,MID,62.5,0.52,4.33,no change,challenger
Vladimir,TOP,66.67,5.37,1.32,no change,challenger
Vladimir,MID,40,5.37,2.64,no change,challenger
Volibear,JUNGLE,52.78,1.63,4.18,no change,challenger
Wukong,MID,68.18,2.88,0.79,nerf,challenger
Wukong,TOP,47.89,2.88,4.49,nerf,challenger
Xayah,ADC,54.17,0.1,2.29,buff,challenger
Xerath,SUPPORT,55.56,1.53,2.77,no change,challenger
Xerath,MID,32,1.53,2.31,no change,challenger
Xin Zhao,JUNGLE,50,40.88,13.3,no change,challenger
Yasuo,MID,66.67,5.95,6.09,no change,challenger
Yasuo,ADC,35.29,5.95,2.15,no change,challenger
Yone,MID,61.4,7.31,5.88,no change,challenger
Yone,TOP,56.82,7.31,2.59,no change,challenger
Yuumi,SUPPORT,46.48,14.16,9.5,no change,challenger
Zac,JUNGLE,61.7,2.21,4.24,no change,challenger
Zed,MID,60.98,18.01,6.71,no change,challenger
Ziggs,ADC,51.17,12.34,12.98,no change,challenger
Ziggs,MID,50,12.34,2.93,no change,challenger
Zilean,SUPPORT,46.34,2.53,3.53,no change,challenger
Zoe,MID,44.74,2.52,3.3,no change,challenger
Zyra,SUPPORT,44,0.85,2.59,no change,challenger
Aatrox,TOP,56.86,1.88,5.45,no change,challenger
Ahri,MID,69.39,0.62,3.23,no change,challenger
Akali,MID,57.69,7.14,3.3,no change,challenger
Akali,TOP,46.67,7.14,1.84,no change,challenger
Akshan,MID,50.83,31.71,5.29,no change,challenger
Akshan,TOP,47.5,31.71,1.53,no change,challenger
Akshan,ADC,45.76,31.71,2.38,no change,challenger
Alistar,SUPPORT,53.49,1.43,6.54,no change,challenger
Anivia,MID,55.56,3.34,2.61,no change,challenger
Aphelios,ADC,46.44,5.09,16.26,no change,challenger
Ashe,ADC,54.39,1.27,12.49,no change,challenger
Aurelion Sol,MID,52,0.25,0.83,no change,challenger
Bard,SUPPORT,56.9,2.82,7.05,no change,challenger
Blitzcrank,SUPPORT,48.54,4.81,5.19,no change,challenger
Brand,SUPPORT,57.14,0.36,2.03,no change,challenger
Braum,SUPPORT,53.01,0.51,5.56,no change,challenger
Caitlyn,ADC,53.73,1.28,6.34,no change,challenger
Camille,TOP,54.67,11.07,14.67,no change,challenger
Cassiopeia,TOP,61.54,2.97,1.23,no change,challenger
Cassiopeia,MID,49.37,2.97,4.66,no change,challenger
Corki,MID,55.88,0.14,1.6,no change,challenger
Darius,TOP,54.29,10.36,3.39,no change,challenger
Diana,JUNGLE,53.15,22.42,15.38,nerf,challenger
Dr. Mundo,TOP,50,2.58,4.74,no change,challenger
Dr. Mundo,JUNGLE,58.33,2.58,0.81,no change,challenger
Dr. Mundo,MID,45,2.58,0.58,no change,challenger
Draven,ADC,52.17,13.37,7.75,no change,challenger
Ekko,MID,55.1,3.25,4.42,no change,challenger
Ekko,JUNGLE,50,3.25,4.21,no change,challenger
Elise,JUNGLE,58.82,4.29,2.98,no change,challenger
Evelynn,JUNGLE,53.85,15.69,3.84,no change,challenger
Ezreal,ADC,52.13,11.03,24.78,no change,challenger
Fiddlesticks,JUNGLE,59.09,6.81,3.78,no change,challenger
Fiora,TOP,55.65,22.85,9.1,nerf,challenger
Fizz,MID,35.14,2.02,2.12,no change,challenger
Galio,MID,56.76,1.28,3.44,no change,challenger
Galio,SUPPORT,50,1.28,2.29,no change,challenger
Gangplank,TOP,51.85,1.82,3.44,no change,challenger
Gnar,TOP,51.43,0.59,2.84,no change,challenger
Gragas,JUNGLE,54.55,0.33,2.08,no change,challenger
Graves,JUNGLE,55.68,6.97,10.6,no change,challenger
Graves,MID,50,6.97,3.17,no change,challenger
Graves,TOP,51.72,6.97,1.57,no change,challenger
Gwen,JUNGLE,65.63,18.38,2.03,no change,challenger
Gwen,TOP,52,18.38,4.27,no change,challenger
Hecarim,JUNGLE,37.74,1.97,4.68,no change,challenger
Irelia,TOP,54.43,38.12,9.39,no change,challenger
Irelia,MID,46.79,38.12,6.65,no change,challenger
Janna,SUPPORT,59.77,0.78,6.48,no change,challenger
Jax,TOP,54.17,7.1,5.84,no change,challenger
Jayce,TOP,49.11,3.06,8.29,no change,challenger
Jayce,MID,50,3.06,1.93,no change,challenger
Jhin,ADC,47.13,0.34,8.02,buff,challenger
Jinx,ADC,56.84,0.23,6.95,no change,challenger
Kai'Sa,ADC,54.25,1.38,13.9,no change,challenger
Kalista,ADC,55.45,2.64,5.47,no change,challenger
Karma,SUPPORT,43.33,6.19,12.77,tweak,challenger
Karthus,JUNGLE,58.18,7.28,4.15,no change,challenger
Kassadin,MID,59.46,20.68,3.86,no change,challenger
Katarina,MID,50,19.98,5.94,no change,challenger
Kayle,TOP,58.33,1.52,2.04,no change,challenger
Kayn,JUNGLE,43.18,15.48,8.45,no change,challenger
Kennen,TOP,53.09,1.23,5.2,no change,challenger
Kha'Zix,JUNGLE,56.1,10.18,9.96,no change,challenger
Kindred,JUNGLE,58.25,8.01,6.61,no change,challenger
Kled,TOP,42.55,0.61,2.15,no change,challenger
Kog'Maw,ADC,59.7,2.08,4.51,no change,challenger
LeBlanc,MID,52.08,22.12,9.65,no change,challenger
Lee Sin,JUNGLE,50.26,26.81,22.42,nerf,challenger
Lee Sin,TOP,60,26.81,3.44,nerf,challenger
Leona,SUPPORT,49.74,12.69,12.99,no change,challenger
Lillia,JUNGLE,56.52,0.36,2.55,no change,challenger
Lissandra,MID,37.5,0.44,2.48,no change,challenger
Lucian,MID,47.02,4.34,7.63,no change,challenger
Lucian,TOP,48.94,4.34,2.48,no change,challenger
Lucian,ADC,48.28,4.34,2.73,no change,challenger
Lulu,SUPPORT,51.95,39.63,14.12,nerf,challenger
Lux,MID,60.87,0.28,1.98,no change,challenger
Malphite,TOP,57.14,5.81,3.89,no change,challenger
Malzahar,MID,67.21,1.18,2.65,no change,challenger
Master Yi,JUNGLE,65.79,2.35,2.33,no change,challenger
Miss Fortune,ADC,56.67,0.05,2.83,no change,challenger
Mordekaiser,TOP,47.62,1.8,3.27,no change,challenger
Morgana,SUPPORT,44.74,10.16,3.69,no change,challenger
Nami,SUPPORT,55.32,0.07,4.25,no change,challenger
Nautilus,SUPPORT,45.8,10.41,10.16,no change,challenger
Nidalee,JUNGLE,55.81,6.72,9.46,no change,challenger
Nocturne,JUNGLE,55.32,9.67,4.38,no change,challenger
Olaf,JUNGLE,51.43,1.44,2.67,no change,challenger
Orianna,MID,56.45,0.17,3.65,no change,challenger
Ornn,TOP,50,0.17,2.62,no change,challenger
Poppy,TOP,57.5,0.9,1.43,no change,challenger
Pyke,SUPPORT,50,4.41,7.07,no change,challenger
Pyke,MID,57.69,4.41,0.95,no change,challenger
Qiyana,MID,51.47,9.1,5.09,no change,challenger
Rakan,SUPPORT,55.09,0.59,8.54,no change,challenger
Rek'Sai,JUNGLE,51.22,1.65,3.07,no change,challenger
Rell,SUPPORT,62.07,0.83,3.86,no change,challenger
Renekton,TOP,46.05,7.38,5.58,no change,challenger
Renekton,MID,50,7.38,1.78,no change,challenger
Rengar,JUNGLE,70,5.15,2.93,no change,challenger
Riven,TOP,53.13,5.2,7.06,no change,challenger
Rumble,JUNGLE,41.46,0.8,2.43,no change,challenger
Ryze,MID,54.3,0.77,5.82,no change,challenger
Ryze,TOP,29.27,0.77,1.69,no change,challenger
Samira,ADC,49.45,12.07,7.74,no change,challenger
Sejuani,JUNGLE,52,0.13,1.31,no change,challenger
Senna,SUPPORT,45,3.67,5.54,no change,challenger
Seraphine,SUPPORT,57.89,0.98,3.56,no change,challenger
Sett,TOP,43.36,7.18,9.59,no change,challenger
Sett,MID,64,7.18,2.32,no change,challenger
Sett,SUPPORT,38.64,7.18,2.32,no change,challenger
Shaco,JUNGLE,45.16,14.09,3.15,no change,challenger
Shen,TOP,56.41,1.23,4.29,no change,challenger
Shyvana,JUNGLE,50,0.46,2.21,no change,challenger
Sion,TOP,48,0.13,2.07,no change,challenger
Sivir,ADC,52,0.13,2.09,buff,challenger
Sona,SUPPORT,51.04,0.13,3.54,tweak,challenger
Soraka,SUPPORT,52.17,0.25,3.68,no change,challenger
Sylas,MID,47.79,12.58,9.55,no change,challenger
Sylas,TOP,41.82,12.58,3.23,no change,challenger
Syndra,MID,53.89,2.74,7.82,no change,challenger
Syndra,ADC,40.98,2.74,2.88,no change,challenger
Tahm Kench,TOP,45.53,24.98,9.96,nerf,challenger
Tahm Kench,SUPPORT,60,24.98,2.28,nerf,challenger
Taliyah,JUNGLE,50,0.28,1.72,no change,challenger
Talon,MID,52.27,3.79,3.61,no change,challenger
Taric,SUPPORT,61.36,0.34,2.06,no change,challenger
Thresh,SUPPORT,51.36,25.5,19.38,no change,challenger
Tristana,ADC,48.91,3.5,10.02,no change,challenger
Tristana,MID,61.54,3.5,1.35,no change,challenger
Trundle,SUPPORT,51.56,1.92,3.65,no change,challenger
Trundle,JUNGLE,48.72,1.92,3.3,no change,challenger
Trundle,TOP,45.45,1.92,2.08,no change,challenger
Tryndamere,TOP,50,6.36,2.91,no change,challenger
Twisted Fate,MID,46.67,0.46,4.09,no change,challenger
Twitch,ADC,48.08,1.78,4.15,no change,challenger
Varus,ADC,54.02,2.7,10.2,no change,challenger
Vayne,ADC,58.33,5.65,10.81,no change,challenger
Vayne,TOP,48,5.65,1.38,no change,challenger
Vel'Koz,MID,61.54,0.29,1.24,no change,challenger
Vel'Koz,SUPPORT,53.85,0.29,1.25,no change,challenger
Viego,JUNGLE,42.55,44.44,17.18,no change,challenger
Viego,TOP,50.91,44.44,2.29,no change,challenger
Viktor,MID,51.28,0.37,3.3,no change,challenger
Vladimir,TOP,61.9,5.95,1.49,buff,challenger
Vladimir,MID,50,5.95,3.63,buff,challenger
Volibear,JUNGLE,44.74,1.36,3.18,no change,challenger
Wukong,TOP,53.06,2.33,3.2,no change,challenger
Xayah,ADC,56.25,0.18,4.06,no change,challenger
Xerath,MID,42.11,2.02,2.54,no change,challenger
Xerath,SUPPORT,35.85,2.02,2.76,no change,challenger
Xin Zhao,JUNGLE,54.55,36.69,12.3,nerf,challenger
Yasuo,MID,51.43,8.88,7.54,no change,challenger
Yasuo,ADC,53.33,8.88,2.29,no change,challenger
